accession,name,description,Study Disease/Focus,Study Design,Study Markerset,Parent study,Study Molecular Data Type,Study Content,Ancestry (computed),NIH Institute,Study Consent,Release Date,Embargo Release Date,Related Terms
"phs000834.v7.p1","Single Cell Analysis Program - Transcriptome (SCAP-T) (UCSD)","A comprehensive characterization of transcriptional diversity and heterogeneity of the human cortex is crucial to understand its functions in healthy and disease conditions. The diversity and cellular states of  the densely packed cellular network in the cortex can be accurately captured by the transcriptional activities of individual cells. An overarching","Prefrontal Cortex","Case Set","Not Provided","Single Cell Analysis Program - Transcriptome (SCAP-T) (phs000833.v7.p1)","RNA-Seq, RNA Seq expression levels, RNA-Seq, RNA Seq expression levels","2 phenotype datasets, 123 variables, 2 documents, 5 molecular datasets,  SRA, 6 subjects, 5161 samples","","NIMH","GRU --- General research use , GRU-NPU --- General research use (npu)","2017-11-27","2017-11-27","Cerebral Cortex; Cerebral Cortices; Cerebral gray matter; Cerebri, Cortex; Cerebrus, Cortex; Cortex"
"phs000835.v7.p1","Single Cell Analysis Program - Transcriptome (SCAP-T) (U. Penn)","The goal of this study is to characterize and understand the variability in the expressed transcriptome of human excitable cells. There are two predominant types of excitable cell in  the human body, neurons and muscle cells, including cardiac cells. Many human CNS diseases result from modulation of the electrical responsiveness of","Brain","Case Set","Not Provided","Single Cell Analysis Program - Transcriptome (SCAP-T) (phs000833.v7.p1)","RNA-Seq, RNA Seq expression levels, WGS, RNA-Seq, RNA Seq expression levels, WGS","3 phenotype datasets, 128 variables, 330 documents, 6 molecular datasets,  SRA, 38 subjects, 1069 samples","","NIMH","GRU --- General research use , GRU-NPU --- General research use (npu)","2017-11-27","2017-11-27","Astroglia; Astroglias; Encephalon; Cell, Endothelial; Cells, Endothelial; Endothelial Cells"
"phs000836.v7.p1","Single Cell Analysis Program - Transcriptome (SCAP-T) (USC)","This study aims to assess the technical and biological noise in measured RNA levels in single cells in a number of human tissue types, and to develop analytical tools  to address the complexity observed at the single-cell level. Understanding the sources and relative sizes of technical and biological noise has","Neurons","Case Set","Not Provided","Single Cell Analysis Program - Transcriptome (SCAP-T) (phs000833.v7.p1)","RNA-Seq, RNA Seq expression levels, RNA-Seq, RNA Seq expression levels","4 phenotype datasets, 137 variables, 1037 documents, 5 molecular datasets,  SRA, 170 subjects, 3039 samples","","NIMH","GRU --- General research use , GRU-NPU --- General research use (npu)","2017-11-27","2017-11-27","Cell, Nerve; Cells, Nerve; Nerve Cell; Nerve Cells; Neural Cell; Neurocyte"
"phs000843.v2.p1","PediGFR - 4C Study Cohort","This sub-study phs000843 4C contains genotype and selected phenotype of subjects available from the phs000843 study. Summary level phenotypes for the NIDDK PediGFR_v2 Cohort study participants can be viewed  at the top-level study page phs000842 PediGFR_v2 Cohort. Individual level phenotype data and molecular data for all PediGFR_v2 Cohort top-level study","Kidney Diseases","Prospective Longitudinal Cohort","Not Provided","Pediatric Investigation for Genetic Factors Linked with Renal Progression (PediGFR) (phs000842.v2.p1)","SNP Genotypes (Array), SNP Genotypes (Array)","2 phenotype datasets, 23 variables, 1 molecular datasets, 677 subjects, 663 samples","European (423), African (5), African American (1), Hispanic1 (41), Hispanic2 (2), South Asian (13), Other (178)","NIDDK","DS-CKD-COMP-IRB --- Disease-specific (chronic kidney disease and related complications, irb)","2019-03-29","2019-03-29","Failure, Kidney; Failures, Kidney; Failures, Renal; Kidney Failures; RF - Renal failure; Renal Failure"
"phs000844.v2.p1","PediGFR - ESCAPE Trial Cohort","This sub-study phs000844 ESCAPE contains genotype and selected phenotype of subjects available from the phs000844 study. Summary level phenotypes for the NIDDK PediGFR_v2 Cohort study participants can be viewed  at the top-level study page phs000842 PediGFR_v2 Cohort. Individual level phenotype data and molecular data for all PediGFR_v2 Cohort top-level study","Kidney Diseases","Prospective Longitudinal Cohort","Not Provided","Pediatric Investigation for Genetic Factors Linked with Renal Progression (PediGFR) (phs000842.v2.p1)","SNP Genotypes (Array), SNP Genotypes (Array)","2 phenotype datasets, 21 variables, 1 molecular datasets, 309 subjects, 293 samples","European (247), African American (2), Hispanic1 (2), Other Asian or Pacific Islander (1), Other (41)","NIDDK","DS-CKD-COMP-IRB --- Disease-specific (chronic kidney disease and related complications, irb)","2019-03-29","2019-03-29","Failure, Kidney; Failures, Kidney; Failures, Renal; Kidney Failures; RF - Renal failure; Renal Failure"
"phs000849.v2.p1","T2D-GENES Project 1: San Antonio Mexican American Family Studies    (SAMAFS), Substudy 1: Whole exome sequencing","The Type 2 Diabetes (T2D) Genetic Exploration by Next-generation sequencing in Ethnic Samples (T2D-GENES) Consortium is a collaborative international effort to identify genes influencing susceptibility to type 2 diabetes  in multiple ethnic groups using next generation sequencing. T2D-GENES Project 1 uses whole exome sequencing to identify low frequency or rare","Diabetes Mellitus, Type 2","Case-Control","Not Provided","T2D-GENES Consortium: San Antonio Mexican American Family Studies (SAMAFS) (phs000847.v2.p1)","SNP Genotypes (NGS), WXS, SNP Genotypes (NGS), WXS","3 phenotype datasets, 40 variables, 1 molecular datasets,  SRA, 491 subjects, 491 samples","","NIDDK","DS-DIAB-IRB-RD --- Disease-specific (diabetes, irb, rd)","2016-12-13","2016-12-13","Adult-Onset Diabetes; Adult-Onset Diabetes Mellitus; DIABETES MELLITUS, TYPE 2; DIABETES MELLITUS, TYPE 2, PROTECTION AGAINST; DIABETES MELLITUS, TYPE II; DIABETES MELLITUS, TYPE II, SUSCEPTIBILITY TO"
"phs000850.v1.p1","OPPERA prospective cohort study of first-onset TMJD","The OPPERA project investigates effects of genetic, physiological, psychological and clinical factors on risk of developing painful temporomandibular disorder. The prospective cohort study evaluated factors at enrollment that predicted  subsequent risk of developing first-onset temporomandibular disorder (TMD). Between May 2006 and November 2008, 3,263 study participants with no","Temporomandibular Joint Disorders","Prospective Longitudinal Cohort","Not Provided","Orofacial Pain: Prospective Evaluation and Risk Assessment (OPPERA) (phs000761.v1.p1)","SNP Genotypes (NGS), SNP Genotypes (NGS)","23 phenotype datasets, 1061 variables, 19 documents, 1 molecular datasets, 3258 subjects, 2866 samples","","NIDCR","DS-TMJD-RD --- Disease-specific (temporomandibular joint disorder, rd)","2015-03-27","2015-03-27","Amplified Musculoskeletal Pain Syndrome; Chronic Pain, Widespread; Chronic Pains, Widespread; Chronic Widespread Pain; Pain, Widespread Chronic; Pains, Widespread Chronic"
"phs000854.v2.p8","Genome-wide Analysis of Noncoding Regulatory Mutations in Cancer","Large-scale sequencing of human tumor samples has transformed the identification of somatic genetic alterations that drive the cancer phenotype. However, most efforts have focused on the protein-coding exome, which  comprises less than 2% of the human genome. Here, we analyzed whole genome sequences from The Cancer Genome Atlas with a focus on recurrently mutated","Neoplasms","Tumor vs. Matched-Normal","Not Provided","National Institutes of Health The Cancer Genome Atlas (TCGA) (phs000178.v10.p8)","SNV Aggregate (.MAF)","2 phenotype datasets, 4 variables, 1 molecular datasets, 356 subjects, 356 samples","","NCI","GRU --- General research use","2018-08-17","2018-08-17","CA; CA - Cancer; Cancer; Malignancies; Malignancy; Malignant Tumor"
"phs000859.v1.p1","Integrated Genomic Analysis of Sezary Syndrome","This sub-study phs000859 Sezary Syndrome Genomic Analysis molecular and phenotype data of subjects available from the phs000859 study. Summary level phenotypes for the NHGRI Rare Cancer Tumors study participants  can be viewed at the top-level study page phs000725 Rare Cancer Tumors Cohort. Individual level phenotype data and molecular data for all Rare Cancer","Sezary Syndrome","Prospective Longitudinal Cohort","Not Provided","Rare Cancer Tumors Project (phs000725.v1.p1)","RNA-Seq, WXS, RNA-Seq, WXS","2 phenotype datasets, 10 variables,  SRA, 42 subjects, 134 samples","","NHGRI","GRU --- General research use","2016-01-20","2016-01-20","Interdigitating cell sarcoma; Reticulosarcomas; Reticulum Cell Sarcoma; Reticulum cell sarcoma morphology; Reticulum-Cell Sarcoma; Reticulum-Cell Sarcomas"
"phs000860.v3.p1","MIchigan-CORnell-TEXas (MICORTEX)","This sub-study phs000860 MICORTEX contains genotype and selected phenotype of subjects available from the phs000860 study. Summary level phenotypes for the NHLBI ARIC Cohort study participants can be viewed  at the top-level study page phs000280 ARIC Cohort. Individual level phenotype data and molecular data for all ARIC Cohort top-level study and sub","Coronary Disease","Prospective Longitudinal Cohort","Not Provided","Atherosclerosis Risk in Communities (ARIC) Cohort (phs000280.v5.p1)","Legacy Genotypes","1 phenotype datasets, 4 variables, 1 molecular datasets, 7218 subjects, 7218 samples","","NHLBI","HMB-IRB --- Health/medical/biomedical (irb) , DS-CVD-IRB --- Disease-specific (cardiovascular disease, irb)","2018-12-11","2018-12-11","CHD - Coronary heart disease; Coronary Diseases; Coronary Heart Disease; Coronary Heart Diseases; Disease, Coronary; Disease, Coronary Heart"
"phs000861.v1.p1","Whole Exome Sequencing of Craniopharyngioma Tumors","This sub-study phs000861 Craniopharyngioma Tumors molecular and phenotype data of subjects available from the phs000861 study. Summary level phenotypes for the NHGRI Rare Cancer Tumors study participants can be  viewed at the top-level study page phs000725 Rare Cancer Tumors Cohort. Individual level phenotype data and molecular data for all Rare Cancer Tumors","Craniopharyngioma","Prospective Longitudinal Cohort","Not Provided","Rare Cancer Tumors Project (phs000725.v1.p1)","WXS, WXS","2 phenotype datasets, 10 variables,  SRA, 29 subjects, 58 samples","","NHGRI","GRU --- General research use","2016-01-20","2016-01-20","BT - Brain tumor; Brain Tumor; Brain Tumors; Brain neoplasm; Brain tumour; Neoplasm of Brain"
"phs000872.v2.p1","PsychENCODE Consortium: Autism Post-Mortem Brain RNA-Sequencing - SRRM4    Splicing Study","Purpose: The goal of this study was to assess the status of splicing changes in microexons in the cortex of individuals with autism. Methods: We performed RiboZero Gold (rRNA  depleted) 50bp PE RNA-seq in a larger set of case and control samples to define 12 autism and 12 control samples showing the greatest global","Autistic Disorder","Case-Control","Not Provided","PsychENCODE Consortium: Epigenetic and Transcriptional Dysregulation in Autism Spectrum (phs001022.v1.p1)","RNA-Seq","3 phenotype datasets, 17 variables,  SRA, 24 subjects, 24 samples","","NIMH","GRU --- General research use","2017-08-18","2017-08-18","AUTISTIC DISORDER; AUTS; Autism; Autism (209850); Autism disorder; Autism, Early Infantile"
"phs000877.v1.p1","Transdisciplinary Research Into Cancer of the Lung (TRICL) - Meta    Analysis","This sub-study phs000877 Meta Analysis contains genotype, sequence data, and selected phenotype of subjects available from the phs000877 study. Summary level phenotypes for the NCI Lung Cancer Transdisciplinary Research  Cohort study participants can be viewed at the top-level study page phs000876 Lung Cancer Transdisciplinary Research Cohort. Individual level","Lung Neoplasms","Case-Control","Not Provided","Transdisciplinary Research Into Cancer of the Lung (TRICL) - Exome Plus Targeted Sequencing (phs000876.v1.p1)","Not Provided","3 analyses","","NCI","DS-CA-MDS --- Disease-specific (cancer, mds) , DS-CA --- Disease-specific (cancer) , HMB-MDS --- Health/medical/biomedical (mds) , LCRF --- Lung cancer risk factors , DS-LCS-RD --- Disease-specific (lung cancer or smoking, rd)","2017-02-07","2017-02-07","Adenocarcinoma, no subtype; Adenocarcinomas; Adenoma, Malignant; Adenomas, Malignant; Malignant Adenoma; Malignant Adenomas"
"phs000878.v1.p1","Transdisciplinary Research Into Cancer of the Lung (TRICL) - Exome Plus    Targeted Sequencing","This sub-study phs000878 CIDR Lung Cancer contains genotype, sequence data, and selected phenotype of subjects available from the phs000878 study. Summary level phenotypes for the NCI Lung Cancer Transdisciplinary  Research Cohort study participants can be viewed at the top-level study page phs000878 Lung Cancer Transdisciplinary Research Cohort. Individual","Lung Neoplasms","Case-Control","Not Provided","Transdisciplinary Research Into Cancer of the Lung (TRICL) - Exome Plus Targeted Sequencing (phs000876.v1.p1)","SNP/CNV Genotypes (NGS), WXS, SNP/CNV Genotypes (NGS), WXS","2 phenotype datasets, 14 variables, 1 molecular datasets,  SRA, 1942 subjects, 2030 samples","","NCI","DS-CA-MDS --- Disease-specific (cancer, mds) , DS-CA --- Disease-specific (cancer) , HMB-MDS --- Health/medical/biomedical (mds) , LCRF --- Lung cancer risk factors , DS-LCS-RD --- Disease-specific (lung cancer or smoking, rd)","2017-02-07","2017-02-07","Adenocarcinoma, no subtype; Adenocarcinomas; Adenoma, Malignant; Adenomas, Malignant; Malignant Adenoma; Malignant Adenomas"
"phs000880.v1.p1","Omics in Latinos (Ola) - Genetic Analysis of HCHS/SOL","This sub-study phs000880 HCHS SOL Hispanic Community Health Study contains genotype data and selected phenotype of subjects available from the phs000880. Summary level phenotypes for the NHLBI HCHS SOL  Cohort study participants can be viewed at the top-level study page phs000810 HCHS SOL Cohort. Individual level phenotype data and molecular data for","Cardiovascular Diseases","Prospective Longitudinal Cohort","Not Provided","Hispanic Community Health Study /Study of Latinos (HCHS/SOL) (phs000810.v1.p1)","SNP Genotypes (Array), SNP Genotypes (Array)","1 phenotype datasets, 5 variables, 1 molecular datasets, 12437 subjects, 13405 samples","European (1284), African (2), East Asian (1), African American (1092), Hispanic1 (2776), Hispanic2 (6284), Other Asian or Pacific Islander (11), Other (987)","NHLBI","HMB-NPU --- Health/medical/biomedical (npu) , HMB --- Health/medical/biomedical","2015-12-07","2016-12-17","Airway hyperreactivity; Asthma, Bronchial; Asthmas; Asthmatic; Bronchial Asthma; Reactive airway disease"
